,Product Name,Discount Price,Real Price,Discount,Sold
69,USAMS Phone Stand ZB255 Adjustable Jepit  Foldable Phone Stand Holder,Rp155.000,Rp550.000,72%,5 terjual
70,USAMS Selfie Stick ZB256 With Tripod Bluetooth Extendable Holder,Rp109.000,Rp450.000,76%,11 terjual
71,LivChic 2IN1 Catok Rambut untuk Meluruskan dan Keriting Ringan Alat,Rp339.000,Rp699.000,52%,50+ terjual
72,LivChic Catokan Rambut 65W-kabel 2 meter 360° Sudut belok jauh 3IN1,Rp289.000,Rp699.000,59%,100+ terjual
73,Monster XKT08 Wireless Bluetooth Earphone Headset Headphone Earbuds TW,Rp139.000,Rp1.099.000,87%,100+ terjual
74,Monster Storm XKH01 Headphone Bluetooth Headset Earphone TWS Earbuds,Rp259.000,Rp799.000,68%,3 terjual
75,Monster XKT02 Wireless Bluetooth Earphone Headset Mini Earbuds TWS,Rp219.000,Rp699.000,69%,4 terjual
76,Thinkplus Lenovo TW60 True Wireless Bluetooth Earphone Headphone TWS,Rp199.000,Rp499.000,60%,22 terjual
77,KiiP Wireless Charging Magsafe Powerbank 3in1 PD Fast Charging 20W ,Rp659.000,Rp1.550.000,57%,13 terjual
78,KiiP C9 Wireless Charger Docking 20w Qi Fast Charging Typec QI Holder,Rp159.000,Rp299.000,47%,10 terjual
79,KiiP WIRELESS EW40 Power Bank 15W Fast Charging PD&QC 3.0 20W 20000mAh,Rp389.000,Rp699.000,44%,2 terjual
80,KiiP Mini Power Bank Fast Charging PD 20W 2in1 Phone Holder 4800mAh,Rp259.000,Rp859.000,70%,
81,KiiP Wireless EW56 Power Bank Magnetic Magsafe Phone Holder 20W Fast,Rp489.000,Rp499.000,2%,
82,KiiP Wireless EW55 Power Bank Magnetic Magsafe 20W Fast Charging Typec,Rp489.000,Rp1.499.000,67%,
83,KiiP E48 Power Bank Fast Charging 20W Quick Charge Type C,Rp219.000,Rp599.000,63%,
84,sisir rambut anti rontok / portable / Pijat kulit kepala / Sisir profe,Rp29.000,Rp69.000,58%,1 terjual
85,Roll Rambut Keriting Gulungan Rambut Poni Hair Curler 1 pcs,Rp18.000,Rp30.000,40%,
86,Roll Rambut Gulung Tempel Poni / Roll Poni Keriting Gelombang / Roll,Rp24.000,Rp50.000,52%,
87,Roll Rambut Jepit Untuk Poni / Hair Root Clip Curler Menambah Volume,Rp18.000,Rp30.000,40%,1 terjual
88,Transformers Kabel Data Fast Charging USB To Type-C Lightning 3in1 25w,Rp42.000,Rp69.000,39%,
89,Transformers T01 True Wireless Bluetooth Earphone TWS V5.3 Noise,Rp229.000,Rp489.000,53%,
90,KiiP Wireless DTS15 Bluetooth Earphone Headphone Headset Earbuds TWS,Rp269.000,Rp729.000,63%,
91,Livchic Rambut Catokan LS310-4IN mini portable 2in1 lurus Ragum Cutee ,Rp199.000,Rp399.000,50%,
92,Monster XKT13 Wireless Bluetooth Earphone Headphone Headset Earbuds,Rp179.000,Rp399.000,55%,
93,Transformers X06 Foldable Phone Stand Holder Dudukan HP Table,Rp36.000,Rp119.000,70%,
94,Hyundai Catokan Rambut Pelurus Rambut Mini 2 in 1 HD180 Hair Straigh,Rp69.000,Rp169.000,59%,1 terjual
95,Philips 2708 Bluetooth Earphone Headphone Headset Earbuds TWS,Rp229.000,Rp599.000,62%,
96,Philips 3708 Earphone Bluetooth True Wireless TWS Bluetooth IPX,Rp279.000,Rp599.000,53%,2 terjual
97,Philips 1708 Bluetooth Earphone Headphone Headset Earbuds TWS V5.3,Rp229.000,Rp499.000,54%,1 terjual
98,Disney QS13 True Wireless TWS Earphone Mini Headset Bluetooth Earbuds,Rp109.000,Rp259.000,58%,1 terjual
99,Disney QS15 True Wireless TWS Earphone Mini Headset Bluetooth 5.3 ,Rp69.000,Rp169.000,59%,1 terjual
100,KiiP Wireless Y8 Bluetooth Portable Karaoke Wireless Speaker With Mic,Rp165.000,Rp499.000,67%,6 terjual
101,Transformers T05 True Wireless Bluetooth Headset Headphone Earphone,Rp129.000,Rp299.000,57%,3 terjual
102,Transformers C03 True Wireless Bluetooth Headset Headphone Earphone,Rp189.000,Rp399.000,53%,
103,Transformers TWS T07 True Wireless Bluetooth Headset Earhook Earphone,Rp189.000,Rp499.000,62%,1 terjual
104,Hyundai Hair Dryer Rambut C2 Turbo Speed Pengering Rambut Negative,Rp469.000,Rp999.000,53%,11 terjual
105,Hyundai Catokan Sisir Pelurus Rambut alat catok rambut Curly Rambut,Rp159.000,Rp399.000,60%,3 terjual
106,KiiP Wireless DTH3 Bluetooth Headset Headphone Earphone Over Ear,Rp89.000,Rp399.000,78%,12 terjual
107,KiiP Wireless H16 Car Charger Mobil 72W Type-C+USB Fast Charging Car,Rp159.000,Rp499.000,68%,
108,TWS Pen Pembersih Cleaning Brush Earphone HP TWS Airpods Lensa/Pen pem,Rp20.000,Rp59.000,66%,19 terjual
109,Hyundai HSB1 Hair Curler Pengeriting Rambut Otomatis,Rp155.000,Rp699.000,78%,3 terjual
